session_timestamp,problem,duration_seconds,attempts
2025-08-24 17:11:49,83 - 19,4.313,2
2025-08-24 17:11:49,12 * 43,3.15,1
2025-08-24 17:11:49,650 / 10,1.333,1
2025-08-24 17:11:49,92 - 73,1.738,1
2025-08-24 17:11:49,40 / 5,1.388,1
2025-08-24 17:11:49,170 / 5,2.763,1
2025-08-24 17:11:49,140 / 2,1.611,1
2025-08-24 17:11:49,66 - 8,1.555,1
2025-08-24 17:11:49,93 - 81,1.082,1
2025-08-24 17:11:49,584 / 8,8.207,1
2025-08-24 17:11:49,9 * 61,1.945,1
2025-08-24 17:11:49,96 + 29,2.337,1
2025-08-24 17:11:49,35 - 19,1.393,1
2025-08-24 17:11:49,65 + 72,2.158,1
2025-08-24 17:11:49,12 * 77,1.893,1
2025-08-24 17:11:49,134 / 2,4.224,1
2025-08-24 17:11:49,8 * 50,1.388,1
2025-08-24 17:11:49,55 / 5,0.982,1
2025-08-24 17:11:49,7 * 14,7.927,2
2025-08-24 17:11:49,320 / 10,1.32,1
2025-08-24 17:11:49,819 / 9,1.219,1
2025-08-24 17:11:49,34 + 76,1.729,1
2025-08-24 17:11:49,73 - 33,1.693,1
2025-08-24 17:11:49,288 / 6,2.977,2
2025-08-24 17:11:49,63 - 51,0.912,1
2025-08-24 17:11:49,24 - 21,0.891,1
2025-08-24 17:11:49,78 + 4,1.196,1
2025-08-24 17:11:49,65 - 21,2.313,1
2025-08-24 17:11:49,88 + 89,6.22,2
2025-08-24 17:11:49,82 + 68,2.045,1
2025-08-24 17:11:49,7 * 36,2.707,1
2025-08-24 17:11:49,208 / 8,2.18,1
2025-08-24 17:11:49,98 + 54,1.613,1
2025-08-24 17:11:49,37 - 29,1.407,1
2025-08-24 17:11:49,98 - 80,1.869,1
2025-08-24 17:11:49,11 + 15,1.265,1
2025-08-24 17:11:49,12 + 15,1.173,1
2025-08-24 17:11:49,59 + 83,3.863,2
2025-08-24 17:11:49,10 * 37,1.215,1
2025-08-24 17:11:49,6 + 62,1.358,1
2025-08-24 17:11:49,3 * 15,1.343,1
2025-08-24 17:11:49,8 + 23,1.296,1
2025-08-24 17:11:49,77 - 25,2.408,1
2025-08-24 17:11:49,35 - 20,1.018,1
2025-08-24 17:11:49,2 * 11,0.895,1
2025-08-24 17:11:49,6 * 23,4.238,1
2025-08-24 17:11:49,81 - 56,1.737,1
2025-08-24 17:11:49,24 + 94,1.716,1
2025-08-24 17:11:49,58 + 81,1.353,1
2025-08-24 17:11:49,11 * 28,1.481,1
2025-08-24 17:11:49,4 * 31,1.248,1
2025-08-24 17:11:49,84 - 31,2.001,1
2025-08-24 17:11:49,4 * 16,1.184,1
2025-08-24 17:11:49,85 - 68,3.314,1
2025-08-24 17:11:49,330 / 6,1.101,1
